Column 1,opcode[6:0],operation,Type,Pseudocode,Column 1,comments,Signed-off by
shift.vi,1000101,vector lane shift imm left or right,VI,"imm_shift = imm5; 
dir = imm8[23]; // bit 0 of imm8 (0 = left, 1 = right)

if (dir == 0)
    // Left shift
    for (i = 0; i < VL - imm_shift; i++)
        vd[i + imm_shift] = vs1[i];
else 
    // Right shift
    for (i = imm_shift; i < VL; i++)
        vd[i - imm_shift] = vs1[i];

PC = PC + 4;",69,,"Saandiya, Jing"
lw.vi,1000110,load weight to sys array imm,VI,"weights = vs1;
PC = PC + 4;",70,,"Saandiya, Jing"
rsum.vi,1000111,vector reduction sum,VI,"for (i = 0; i < VL; i++)
    if (imm[6])
        vd[i] = SUM(vs)
    else if (imm[5])
        if (i == imm[0:4])
            vd[i] = SUM(vs)
        else
            vd[i] = 0
    else
        if (i == imm[0:4])
            vd[i] = SUM(vs)
        else
            vd[i] = vs[i]
PC = PC + 4",71,,"Walter, Jacob"
rmin.vi,1001000,vector reduction min,VI,"for (i = 0; i < VL; i++)
    if (imm[6])
        vd[i] = MIN(vs)
    else if (imm[5])
        if (i == imm[0:4])
            vd[i] = MIN(vs)
        else
            vd[i] = 0
    else
        if (i == imm[0:4])
            vd[i] = MIN(vs)
        else
            vd[i] = vs[i]
PC = PC + 4",72,,"Walter, Jacob"
rmax.vi,1001001,vector reduction max,VI,"for (i = 0; i < VL; i++)
    if (imm[6])
        vd[i] = MAX(vs)
    else if (imm[5])
        if (i == imm[0:4])
            vd[i] = MAX(vs)
        else
            vd[i] = 0
    else
        if (i == imm[0:4])
            vd[i] = MAX(vs)
        else
            vd[i] = vs[i]
PC = PC + 4",73,,"Walter, Jacob"
shift.vs,0111000,vector lane shift scalar reg left or right,VS,"dir_bit = rs1[28];         // Bit[28] selects direction: 0=RIGHT, 1=LEFT
shift_amt = rs1[27:23];   // Bits[27:23] give shift amt (0–31)

if (dir_bit == 1) 
    // LEFT shift
    for (i = 0; i < VL - shift_amt; i++)
        vd[i + shift_amt] = vs1[i];
else 
    // RIGHT shift
    for (i = shift_amt; i < VL; i++)
        vd[i - shift_amt] = vs1[i];

PC = PC + 4;",74,,"Fan Jing Hoon, Saandiya"
mv.mts,1001011,Moves a mask to the scalar reg file,MTS,rd = vms,75,,Fan Jing Hoon
mv.stm,1001100,moves a scalar to the mask reg file,STM,vmd= rs1,76,,Fan Jing Hoon
vreg.ld ,1001101,Vector Load,VM,"for (i=0; i<VL; i++)
     vd1[i] = SCPAD[(rs1 ,numtilerow,numtilecol,roworcolid,row/column,datatype), i];
PC = PC + 4",77,,"Sooraj, Vedant"
vreg.st ,1001110,Vector Store,VM,"for (i=0; i<VL; i++)
     SCPAD[(rs1, numtilerow,numtilecol,roworcolid,row/column,datatype), i] = vd1[i], 
PC = PC + 4",78,,"Sooraj, Vedant"
vmov.vi,1001111,Move Vector Element Immediate,VI,rd = vs1[imm]; PC = PC + 4,79,,Joseph Ghanem
add.vs,1010000,Add Scalar,VS,"for (i=0; i<VL; i++)
     if (mask[i])
     vd[i] = vs1[i] + rs1;
PC = PC + 4",80,"rs1 is fp16/bf16 in scalar reg. INT32->FP/BF16 conversion is done in scalar core, guaranteed by compiler",Fan Jing Hoon
sub.vs,1010001,Sub Scalar,VS,for (i=0; i<VL; i++) if (mask[i]) vd[i] = vs1[i] - rs1; PC = PC + 4,81,see above,Fan Jing Hoon
mul.vs,1010010,Mult Scalar,VS,for (i=0; i<VL; i++) if (mask[i]) vd[i] = vs1[i] * rs1; PC = PC + 4,82,see above,Fan Jing Hoon
div.vs,1010011,Divide Scalar,VS,for (i=0; i<VL; i++) if (mask[i]) vd[i] = vs1[i] / rs1; PC = PC + 4,83,see above,Fan Jing Hoon
mgt.vs,1010100,Mask Greater Than Scalar,VS,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] > rs1; 
PC = PC + 4",84,,Joseph Ghanem
mlt.vs,1010101,Mask Less Than Scalar,VS,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] < rs1; 
PC = PC + 4",85,,Joseph Ghanem
meq.vs,1010110,Mask Equals Scalar,VS,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] == rs1; 
PC = PC + 4",86,,Joseph Ghanem
mneq.vs,1010111,Mask Not Equals Scalar,VS,"for (i=0; i<VL; i++)                            
      if (mask[i]) 
           vmd[i] = vs1[i] != rs1; 
PC = PC + 4",87,,Joseph Ghanem
scpad.ld,1011000,Scratchpad Load ,SDMA,"for (i = 0; i < NR; i++) 
    for (j = 0; j < NC; j++) 
        SCPAD[(scpad_ptr* i) + j] = GMEM[swizzle((gmem_ptr* i) + )] ",88,,Akshath Raghav R
scpad.st,1011001,Scratchpad Store,SDMA,"for (i = 0; i < NR; i++) 
    for (j = 0; j < NC; j++) 
        GMEM[(gmem_ptr* i) + j] = SCPAD[swizzle((scpad_ptr * i) + )] ",89,,Akshath Raghav R
